algorithm,feature_set,imputer,leaf_size,metric,n_neighbors,p,reducer,scaler,weights,status,error,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,random_cv_accuracy_mean,random_cv_accuracy_std,random_cv_macro_f1_mean,random_cv_macro_f1_std,stratified_cv_accuracy_mean,stratified_cv_accuracy_std,stratified_cv_macro_f1_mean,stratified_cv_macro_f1_std,domain_cv_accuracy_mean,domain_cv_macro_f1_mean,domain_cv_accuracy_std,domain_cv_macro_f1_std,worst_domain_accuracy,worst_domain_macro_f1,random_cv_scenario,domain_cv_scenario,feature_family,preprocessing,knn_params,stage,cv_scenario,cv_group_column,cv_is_domain_aware,feature_count,cache_path,feature_dimension
brute,lowfreq_all_plus_waveform_spectral,mean,50,minkowski,7,2,"{'type': 'select_k_best', 'k': 1024}",standard,uniform,ok,,0.16115573519916854,0.07801986001070697,0.10888095120896285,0.0338785439363059,0.7582857142857142,0.013334013588089177,0.7582611847432232,0.013192093327604513,0.7582857142857142,0.013334013588089177,0.7582611847432232,0.013192093327604513,0.16115573519916854,0.10888095120896285,0.07801986001070697,0.0338785439363059,0.050855085508550855,0.062052866857356684,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_waveform_spectral,"{""imputer"": ""mean"", ""reducer"": {""k"": 1024, ""type"": ""select_k_best""}, ""scaler"": ""standard""}","{""algorithm"": ""brute"", ""leaf_size"": 50, ""metric"": ""minkowski"", ""n_neighbors"": 7, ""p"": 2, ""weights"": ""uniform""}",stage2_deeper_classical,leave_one_domain_out,dataset,True,277,outputs/cache/features/3a/3aad7dafe928e404a67fd204e78e23172b732784.joblib,
kd_tree,lowfreq_all_plus_waveform_spectral,mean,30,euclidean,21,2,"{'type': 'select_k_best', 'k': 64}",none,uniform,ok,,0.11138567925333333,0.05337827501451878,0.08485404678616248,0.02842259785888186,0.7427142857142858,0.0016350747346085062,0.7430569635313258,0.001471306716464345,0.7427142857142858,0.0016350747346085062,0.7430569635313258,0.001471306716464345,0.11138567925333333,0.08485404678616248,0.05337827501451878,0.02842259785888186,0.04095409540954095,0.04494163968005731,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_waveform_spectral,"{""imputer"": ""mean"", ""reducer"": {""k"": 64, ""type"": ""select_k_best""}, ""scaler"": ""none""}","{""algorithm"": ""kd_tree"", ""leaf_size"": 30, ""metric"": ""euclidean"", ""n_neighbors"": 21, ""p"": 2, ""weights"": ""uniform""}",stage2_deeper_classical,leave_one_domain_out,dataset,True,277,outputs/cache/features/3a/3aad7dafe928e404a67fd204e78e23172b732784.joblib,
auto,hybrid_spectral_band16,median,50,euclidean,3,2,"{'type': 'variance_threshold', 'threshold': 0.0}",robust,uniform,ok,,0.15884169520476024,0.07735346440533127,0.10996969801716112,0.03141940757650246,0.7408571428571429,0.004615855548972431,0.7410060526050772,0.004646815055555955,0.7408571428571429,0.004615855548972431,0.7410060526050772,0.004646815055555955,0.15884169520476024,0.10996969801716112,0.07735346440533127,0.03141940757650246,0.061656165616561655,0.06585880242894614,stratified_kfold,leave_one_domain_out,hybrid_spectral_band16,"{""imputer"": ""median"", ""reducer"": {""threshold"": 0.0, ""type"": ""variance_threshold""}, ""scaler"": ""robust""}","{""algorithm"": ""auto"", ""leaf_size"": 50, ""metric"": ""euclidean"", ""n_neighbors"": 3, ""p"": 2, ""weights"": ""uniform""}",stage1_cheap_classical,leave_one_domain_out,dataset,True,113,outputs/cache/features/e9/e9abcbcaa568b896a3b97bc6490518158dc3e3b0.joblib,
brute,spectral_stats,median,20,cosine,21,2,"{'type': 'variance_threshold', 'threshold': 0.0}",standard,distance,ok,,0.16976028082650885,0.08408566420845844,0.11642626887129988,0.03735893387105551,0.7408571428571428,0.009471762545286155,0.7403899251982471,0.009945384600646,0.7408571428571428,0.009471762545286155,0.7403899251982471,0.009945384600646,0.16976028082650885,0.11642626887129988,0.08408566420845844,0.03735893387105551,0.050855085508550855,0.06999765233933582,stratified_kfold,leave_one_domain_out,spectral_stats,"{""imputer"": ""median"", ""reducer"": {""threshold"": 0.0, ""type"": ""variance_threshold""}, ""scaler"": ""standard""}","{""algorithm"": ""brute"", ""leaf_size"": 20, ""metric"": ""cosine"", ""n_neighbors"": 21, ""p"": 2, ""weights"": ""distance""}",stage1_cheap_classical,leave_one_domain_out,dataset,True,33,outputs/cache/features/bf/bf01ce3aed8b4e2653e457dadc40b52c426b4157.joblib,
brute,lowfreq_all_plus_waveform_spectral,median,20,cosine,3,2,"{'type': 'variance_threshold', 'threshold': 0.0}",standard_l2,uniform,ok,,0.17896724292803348,0.07123110474996346,0.12671388198738578,0.025687010958962635,0.7377142857142858,0.004965184913423633,0.7377003780786096,0.004835138713405306,0.7377142857142858,0.004965184913423633,0.7377003780786096,0.004835138713405306,0.17896724292803348,0.12671388198738578,0.07123110474996346,0.025687010958962635,0.07875787578757876,0.092007909013107,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_waveform_spectral,"{""imputer"": ""median"", ""reducer"": {""threshold"": 0.0, ""type"": ""variance_threshold""}, ""scaler"": ""standard_l2""}","{""algorithm"": ""brute"", ""leaf_size"": 20, ""metric"": ""cosine"", ""n_neighbors"": 3, ""p"": 2, ""weights"": ""uniform""}",stage1_cheap_classical,leave_one_domain_out,dataset,True,277,outputs/cache/features/3a/3aad7dafe928e404a67fd204e78e23172b732784.joblib,
brute,handcrafted_stats,median,30,cosine,1,2,{'type': 'none'},robust_l2,uniform,ok,,0.19516765053223117,0.068380176452055,0.13928500329606525,0.019223733034808833,0.7275714285714286,0.00987575881868821,0.7276580933320412,0.01001403838437836,0.7275714285714286,0.00987575881868821,0.7276580933320412,0.01001403838437836,0.19516765053223117,0.13928500329606525,0.068380176452055,0.019223733034808833,0.0999099909990999,0.11258971735701741,stratified_kfold,leave_one_domain_out,handcrafted_stats,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""robust_l2""}","{""algorithm"": ""brute"", ""leaf_size"": 30, ""metric"": ""cosine"", ""n_neighbors"": 1, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,,,,49,outputs/cache/features/c2/c25dafc5bbdae388c0586cd82df40695181c0753.joblib,49.0
brute,lowfreq_all,mean,20,manhattan,21,2,{'type': 'none'},none,uniform,ok,,0.13625651286831367,0.05949585431303011,0.09220814086767586,0.023620921875563385,0.7270000000000001,0.01198894048185873,0.7270307825278769,0.011570276754386145,0.7270000000000001,0.01198894048185873,0.7270307825278769,0.011570276754386145,0.13625651286831367,0.09220814086767586,0.05949585431303011,0.023620921875563385,0.054455445544554455,0.059239270680759,stratified_kfold,leave_one_domain_out,lowfreq_all,"{""imputer"": ""mean"", ""reducer"": {""type"": ""none""}, ""scaler"": ""none""}","{""algorithm"": ""brute"", ""leaf_size"": 20, ""metric"": ""manhattan"", ""n_neighbors"": 21, ""p"": 2, ""weights"": ""uniform""}",stage1_cheap_classical,leave_one_domain_out,dataset,True,216,outputs/cache/features/a1/a12d397a3c8f30639dddfe73004d7c823e668300.joblib,
brute,waveform_spectral_stats,mean,20,euclidean,21,2,{'type': 'none'},robust_l2,uniform,ok,,0.15060704739716146,0.07322651358627955,0.09997806819126011,0.03230272395092752,0.727,0.008054660205148846,0.7262435179032847,0.0076876338415817315,0.727,0.008054660205148846,0.7262435179032847,0.0076876338415817315,0.15060704739716146,0.09997806819126011,0.07322651358627955,0.03230272395092752,0.047254725472547256,0.05726439479840335,stratified_kfold,leave_one_domain_out,waveform_spectral_stats,"{""imputer"": ""mean"", ""reducer"": {""type"": ""none""}, ""scaler"": ""robust_l2""}","{""algorithm"": ""brute"", ""leaf_size"": 20, ""metric"": ""euclidean"", ""n_neighbors"": 21, ""p"": 2, ""weights"": ""uniform""}",stage1_cheap_classical,leave_one_domain_out,dataset,True,61,outputs/cache/features/9c/9c657f1aac245cee7684d679e2fa90c0398da223.joblib,
auto,logmel_stats_32,median,50,cosine,21,2,{'type': 'none'},robust,distance,ok,,0.1282018052192971,0.06282776229285572,0.10585032963207268,0.03461095538902351,0.727,0.01111259627262539,0.7235975334081646,0.01079530319322582,0.727,0.01111259627262539,0.7235975334081646,0.01079530319322582,0.1282018052192971,0.10585032963207268,0.06282776229285572,0.03461095538902351,0.045004500450045004,0.06015946504371269,stratified_kfold,leave_one_domain_out,logmel_stats_32,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""robust""}","{""algorithm"": ""auto"", ""leaf_size"": 50, ""metric"": ""cosine"", ""n_neighbors"": 21, ""p"": 2, ""weights"": ""distance""}",stage1_cheap_classical,leave_one_domain_out,dataset,True,232,outputs/cache/features/33/33d1ec3a1a5bf04cd7004808f2ba1904800a620e.joblib,
brute,lowfreq_all_plus_waveform_spectral,median,30,cosine,1,2,{'type': 'none'},robust_l2,uniform,ok,,0.20757888285264636,0.08200069553741575,0.14496192945481495,0.029402574211656787,0.7005714285714286,0.004218520874352404,0.7003869155093103,0.004241995120861247,0.7005714285714286,0.004218520874352404,0.7003869155093103,0.004241995120861247,0.20757888285264636,0.14496192945481495,0.08200069553741575,0.029402574211656787,0.09180918091809182,0.10342893139849887,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_waveform_spectral,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""robust_l2""}","{""algorithm"": ""brute"", ""leaf_size"": 30, ""metric"": ""cosine"", ""n_neighbors"": 1, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,,,,277,outputs/cache/features/3a/3aad7dafe928e404a67fd204e78e23172b732784.joblib,277.0
