feature_set,best_random_cv_accuracy_mean,best_random_cv_macro_f1_mean,best_domain_cv_accuracy_mean,best_domain_cv_macro_f1_mean,best_worst_domain_accuracy,best_worst_domain_macro_f1,candidate_count,best_scaler,best_reducer,best_metric,best_n_neighbors
lowfreq_all_plus_waveform_spectral,0.7582857142857142,0.7582611847432232,0.16115573519916854,0.10888095120896285,0.050855085508550855,0.062052866857356684,5,standard,"{'type': 'select_k_best', 'k': 1024}",minkowski,7
hybrid_spectral_band16,0.7408571428571429,0.7410060526050772,0.15884169520476024,0.10996969801716112,0.061656165616561655,0.06585880242894614,1,robust,"{'type': 'variance_threshold', 'threshold': 0.0}",euclidean,3
spectral_stats,0.7408571428571428,0.7403899251982471,0.16976028082650885,0.11642626887129988,0.050855085508550855,0.06999765233933582,2,standard,"{'type': 'variance_threshold', 'threshold': 0.0}",cosine,21
handcrafted_stats,0.7275714285714286,0.7276580933320412,0.19516765053223117,0.13928500329606525,0.0999099909990999,0.11258971735701741,2,robust_l2,{'type': 'none'},cosine,1
lowfreq_all,0.7270000000000001,0.7270307825278769,0.13625651286831367,0.09220814086767586,0.054455445544554455,0.059239270680759,2,none,{'type': 'none'},manhattan,21
waveform_spectral_stats,0.727,0.7262435179032847,0.15060704739716146,0.09997806819126011,0.047254725472547256,0.05726439479840335,4,robust_l2,{'type': 'none'},euclidean,21
logmel_stats_32,0.727,0.7235975334081646,0.1282018052192971,0.10585032963207268,0.045004500450045004,0.06015946504371269,1,robust,{'type': 'none'},cosine,21
waveform_stats,0.6911428571428572,0.6907342580368102,0.11362467239767256,0.08088037774503277,0.036003600360036005,0.04419297802389856,1,robust_l2,{'type': 'none'},euclidean,21
lowfreq_all_plus_logmel,0.6885714285714286,0.6874903880010967,0.1879695725317528,0.133333504575165,0.09495949594959496,0.10318075419616088,1,robust_l2,{'type': 'none'},cosine,1
band_energy_linear_16,0.679,0.6789513595522001,0.17081351068618866,0.12650382100981059,0.07695769576957696,0.08818190018004961,1,standard_l2,{'type': 'none'},cosine,1
notebook_lowfreq_band_features,0.6608571428571428,0.6641545585180433,0.123250219402393,0.09925755956443626,0.07560756075607561,0.096502196157893,2,normalizer,{'type': 'none'},cosine,3
lowfreq_relative_temporal,0.6525714285714286,0.6553054156480594,0.10755859966877113,0.08808670661753361,0.0612061206120612,0.0709030147529459,2,normalizer,{'type': 'none'},manhattan,5
mfcc_20,0.6205714285714286,0.6234934015107663,0.1066868716437704,0.08482334809045526,0.0333033303330333,0.04007864510137592,1,robust_l2,{'type': 'none'},manhattan,11
lowfreq_all_plus_mfcc,0.5957142857142858,0.5948321055937573,0.1589292019952979,0.11803536230615641,0.07965796579657966,0.08323682259091927,1,robust_l2,{'type': 'none'},cosine,1
relative_lowfreq_shape_features,0.5745714285714285,0.5740595434505568,0.13471228327571308,0.10204796568757911,0.08010801080108011,0.08974738050307209,2,robust_l2,{'type': 'none'},cosine,1
temporal_lowfreq_shape_features,0.20928571428571427,0.210521552432161,0.04508905775249932,0.04594562563423158,0.0396590066716086,0.03433538215373604,2,standard_l2,"{'type': 'variance_threshold', 'threshold': 0.0}",cosine,3
