imputer,scaler,reducer,n_neighbors,weights,metric,algorithm,leaf_size,p,feature_set,status,error,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,random_cv_accuracy_mean,random_cv_accuracy_std,random_cv_macro_f1_mean,random_cv_macro_f1_std,stratified_cv_accuracy_mean,stratified_cv_accuracy_std,stratified_cv_macro_f1_mean,stratified_cv_macro_f1_std,domain_cv_accuracy_mean,domain_cv_macro_f1_mean,domain_cv_accuracy_std,domain_cv_macro_f1_std,worst_domain_accuracy,worst_domain_macro_f1,random_cv_scenario,domain_cv_scenario,feature_family,preprocessing,knn_params,stage,feature_dimension,feature_count,cache_path
median,robust_l2,{'type': 'none'},1,uniform,cosine,brute,30,2,handcrafted_stats,ok,,0.19516765053223117,0.068380176452055,0.13928500329606525,0.019223733034808833,0.7275714285714286,0.00987575881868821,0.7276580933320412,0.01001403838437836,0.7275714285714286,0.00987575881868821,0.7276580933320412,0.01001403838437836,0.19516765053223117,0.13928500329606525,0.068380176452055,0.019223733034808833,0.0999099909990999,0.11258971735701741,stratified_kfold,leave_one_domain_out,handcrafted_stats,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""robust_l2""}","{""algorithm"": ""brute"", ""leaf_size"": 30, ""metric"": ""cosine"", ""n_neighbors"": 1, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,49,49,outputs/cache/features/c2/c25dafc5bbdae388c0586cd82df40695181c0753.joblib
median,robust_l2,{'type': 'none'},1,uniform,cosine,brute,30,2,lowfreq_all_plus_waveform_spectral,ok,,0.20757888285264636,0.08200069553741575,0.14496192945481495,0.029402574211656787,0.7005714285714286,0.004218520874352404,0.7003869155093103,0.004241995120861247,0.7005714285714286,0.004218520874352404,0.7003869155093103,0.004241995120861247,0.20757888285264636,0.14496192945481495,0.08200069553741575,0.029402574211656787,0.09180918091809182,0.10342893139849887,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_waveform_spectral,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""robust_l2""}","{""algorithm"": ""brute"", ""leaf_size"": 30, ""metric"": ""cosine"", ""n_neighbors"": 1, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,277,277,outputs/cache/features/3a/3aad7dafe928e404a67fd204e78e23172b732784.joblib
median,robust_l2,{'type': 'none'},1,uniform,cosine,brute,30,2,waveform_spectral_stats,ok,,0.1966051182583047,0.07240347026304379,0.14382121403543102,0.01797594952775798,0.6975714285714286,0.005258617805515983,0.697611741151426,0.005011384916961995,0.6975714285714286,0.005258617805515983,0.697611741151426,0.005011384916961995,0.1966051182583047,0.14382121403543102,0.07240347026304379,0.01797594952775798,0.09720972097209721,0.11981855383248344,stratified_kfold,leave_one_domain_out,waveform_spectral_stats,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""robust_l2""}","{""algorithm"": ""brute"", ""leaf_size"": 30, ""metric"": ""cosine"", ""n_neighbors"": 1, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,61,61,outputs/cache/features/9c/9c657f1aac245cee7684d679e2fa90c0398da223.joblib
median,robust_l2,{'type': 'none'},1,uniform,cosine,brute,30,2,lowfreq_all_plus_logmel,ok,,0.1879695725317528,0.0696351357572497,0.133333504575165,0.025202010958407094,0.6885714285714286,0.0064269839309725576,0.6874903880010967,0.00638894705872642,0.6885714285714286,0.0064269839309725576,0.6874903880010967,0.00638894705872642,0.1879695725317528,0.133333504575165,0.0696351357572497,0.025202010958407094,0.09495949594959496,0.10318075419616088,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_logmel,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""robust_l2""}","{""algorithm"": ""brute"", ""leaf_size"": 30, ""metric"": ""cosine"", ""n_neighbors"": 1, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,448,448,outputs/cache/features/fc/fc7ac9b384f0ad53dbc6efb5433287cc8e5d8eb8.joblib
median,robust_l2,{'type': 'none'},1,uniform,cosine,brute,30,2,lowfreq_all,ok,,0.1549558669800378,0.06148312922684715,0.11052037660723892,0.019752420588989898,0.6074285714285714,0.008989790127172726,0.6060775894214522,0.009025272799506757,0.6074285714285714,0.008989790127172726,0.6060775894214522,0.009025272799506757,0.1549558669800378,0.11052037660723892,0.06148312922684715,0.019752420588989898,0.07875787578757876,0.08901682028064943,stratified_kfold,leave_one_domain_out,lowfreq_all,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""robust_l2""}","{""algorithm"": ""brute"", ""leaf_size"": 30, ""metric"": ""cosine"", ""n_neighbors"": 1, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,216,216,outputs/cache/features/a1/a12d397a3c8f30639dddfe73004d7c823e668300.joblib
median,robust_l2,{'type': 'none'},1,uniform,cosine,brute,30,2,lowfreq_all_plus_mfcc,ok,,0.1589292019952979,0.05978769703298636,0.11803536230615641,0.03280110922441086,0.5957142857142858,0.009359051059519539,0.5948321055937573,0.009178733490291096,0.5957142857142858,0.009359051059519539,0.5948321055937573,0.009178733490291096,0.1589292019952979,0.11803536230615641,0.05978769703298636,0.03280110922441086,0.07965796579657966,0.08323682259091927,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_mfcc,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""robust_l2""}","{""algorithm"": ""brute"", ""leaf_size"": 30, ""metric"": ""cosine"", ""n_neighbors"": 1, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,376,376,outputs/cache/features/2a/2a7bc73a3c2a097376a042f0f79a2747ba333c9d.joblib
median,robust_l2,{'type': 'none'},1,uniform,cosine,brute,30,2,notebook_lowfreq_band_features,ok,,0.15651896938282525,0.055279506871692904,0.11718659984197681,0.013412893093525549,0.6035714285714286,0.007509178057686539,0.5945317425178102,0.006438941749199778,0.6035714285714286,0.007509178057686539,0.5945317425178102,0.006438941749199778,0.15651896938282525,0.11718659984197681,0.055279506871692904,0.013412893093525549,0.0963096309630963,0.10253591099093295,stratified_kfold,leave_one_domain_out,notebook_lowfreq_band_features,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""robust_l2""}","{""algorithm"": ""brute"", ""leaf_size"": 30, ""metric"": ""cosine"", ""n_neighbors"": 1, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,68,68,outputs/cache/features/52/52762c8c42533f24ddb467b0450165559a06ded4.joblib
median,robust_l2,{'type': 'none'},1,uniform,cosine,brute,30,2,relative_lowfreq_shape_features,ok,,0.13471228327571308,0.04085400012354076,0.10204796568757911,0.010464111419165718,0.5745714285714285,0.0015386185163241387,0.5740595434505568,0.0020267319233465034,0.5745714285714285,0.0015386185163241387,0.5740595434505568,0.0020267319233465034,0.13471228327571308,0.10204796568757911,0.04085400012354076,0.010464111419165718,0.08010801080108011,0.08974738050307209,stratified_kfold,leave_one_domain_out,relative_lowfreq_shape_features,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""robust_l2""}","{""algorithm"": ""brute"", ""leaf_size"": 30, ""metric"": ""cosine"", ""n_neighbors"": 1, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,107,107,outputs/cache/features/e3/e3b204aa5ee7e29eacba7b13ecfed21fa60d8e04.joblib
median,robust_l2,{'type': 'none'},1,uniform,cosine,brute,30,2,lowfreq_relative_temporal,ok,,0.12642728673135317,0.037721069124919133,0.09706035249956403,0.013218461287626906,0.5694285714285714,0.0061743379385640965,0.5696403571509052,0.0060966480455914756,0.5694285714285714,0.0061743379385640965,0.5696403571509052,0.0060966480455914756,0.12642728673135317,0.09706035249956403,0.037721069124919133,0.013218461287626906,0.07605760576057606,0.08105336787600245,stratified_kfold,leave_one_domain_out,lowfreq_relative_temporal,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""robust_l2""}","{""algorithm"": ""brute"", ""leaf_size"": 30, ""metric"": ""cosine"", ""n_neighbors"": 1, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,148,148,outputs/cache/features/66/6649eb81d1250cfacf665892dc68ba3bb09dc112.joblib
median,robust_l2,{'type': 'none'},1,uniform,cosine,brute,30,2,temporal_lowfreq_shape_features,ok,,0.04837434864687359,0.0056054249666211454,0.04811560392825409,0.007165613348662041,0.207,0.011119939803096491,0.20815267406475602,0.010972404091154214,0.207,0.011119939803096491,0.20815267406475602,0.010972404091154214,0.04837434864687359,0.04811560392825409,0.0056054249666211454,0.007165613348662041,0.043654365436543656,0.038023314071011276,stratified_kfold,leave_one_domain_out,temporal_lowfreq_shape_features,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""robust_l2""}","{""algorithm"": ""brute"", ""leaf_size"": 30, ""metric"": ""cosine"", ""n_neighbors"": 1, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,41,41,outputs/cache/features/c3/c34b3c6960ee4503eddbbb1ea65b17e2ff0e664e.joblib
