algorithm,feature_set,imputer,leaf_size,metric,n_neighbors,p,reducer,scaler,weights,status,error,cv_accuracy_mean,cv_accuracy_std,cv_macro_precision_mean,cv_macro_precision_std,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_weighted_f1_std,random_cv_accuracy_mean,random_cv_accuracy_std,random_cv_macro_precision_mean,random_cv_macro_precision_std,random_cv_macro_f1_mean,random_cv_macro_f1_std,random_cv_weighted_f1_mean,random_cv_weighted_f1_std,stratified_cv_accuracy_mean,stratified_cv_accuracy_std,stratified_cv_macro_precision_mean,stratified_cv_macro_precision_std,stratified_cv_macro_f1_mean,stratified_cv_macro_f1_std,stratified_cv_weighted_f1_mean,stratified_cv_weighted_f1_std,domain_cv_accuracy_mean,domain_cv_macro_precision_mean,domain_cv_macro_f1_mean,domain_cv_weighted_f1_mean,domain_cv_accuracy_std,domain_cv_macro_precision_std,domain_cv_macro_f1_std,domain_cv_weighted_f1_std,worst_domain_accuracy,worst_domain_macro_precision,worst_domain_macro_f1,worst_domain_weighted_f1,random_cv_scenario,domain_cv_scenario,feature_family,preprocessing,knn_params,stage,cv_scenario,cv_group_column,cv_is_domain_aware,task_mode,dataset_mode,feature_dimension,feature_count,cache_path
auto,lowfreq_all_plus_waveform_spectral,mean,80,manhattan,7,2,"{'type': 'select_k_best', 'k': 64}",robust,uniform,ok,,0.4202401581508916,0.40938522489804235,0.2563777394387199,0.17079042507703168,0.1985383135585789,0.17593745097220295,0.4489674605726801,0.40979477020763233,0.8316666666666667,0.008366600265340763,0.8330368643569075,0.007674930822356314,0.8321298245865254,0.008150412283212453,0.8321298245865254,0.008150412283212437,0.8316666666666667,0.008366600265340763,0.8330368643569075,0.007674930822356314,0.8321298245865254,0.008150412283212453,0.8321298245865254,0.008150412283212437,0.4202401581508916,0.2563777394387199,0.1985383135585789,0.4489674605726801,0.40938522489804235,0.17079042507703168,0.17593745097220295,0.40979477020763233,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_waveform_spectral,"{""imputer"": ""mean"", ""reducer"": {""k"": 64, ""type"": ""select_k_best""}, ""scaler"": ""robust""}","{""algorithm"": ""auto"", ""leaf_size"": 80, ""metric"": ""manhattan"", ""n_neighbors"": 7, ""p"": 2, ""weights"": ""uniform""}",cv_notebook_exact_and_lowfreq,leave_one_domain_out,dataset,True,3class_notebook_cv,balanced_train_cv,277,277,outputs/cache/features/7b/7bf5840dfd3364c6796e8ce2995b58db491d67d3.joblib
brute,waveform_spectral_stats,median,80,minkowski,41,1,"{'type': 'pca_components', 'value': 44}",minmax,distance,ok,,0.24242791724865698,0.1905905911913295,0.23098654943214528,0.14947903453264533,0.12233987164869137,0.08387393189794493,0.31844293239544547,0.2713843239247463,0.82,0.006912147117775916,0.8239545781381594,0.007154333753848109,0.8211835108825756,0.006815708881120212,0.8211835108825756,0.006815708881120151,0.82,0.006912147117775916,0.8239545781381594,0.007154333753848109,0.8211835108825756,0.006815708881120212,0.8211835108825756,0.006815708881120151,0.24242791724865698,0.23098654943214528,0.12233987164869137,0.31844293239544547,0.1905905911913295,0.14947903453264533,0.08387393189794493,0.2713843239247463,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,waveform_spectral_stats,"{""imputer"": ""median"", ""reducer"": {""type"": ""pca_components"", ""value"": 44}, ""scaler"": ""minmax""}","{""algorithm"": ""brute"", ""leaf_size"": 80, ""metric"": ""minkowski"", ""n_neighbors"": 41, ""p"": 1, ""weights"": ""distance""}",cv_notebook_exact_and_lowfreq,leave_one_domain_out,dataset,True,3class_notebook_cv,balanced_train_cv,61,61,outputs/cache/features/2e/2e395c6c061f37a5dd5eb106207176c388164c41.joblib
brute,waveform_spectral_stats,mean,80,chebyshev,11,2,"{'type': 'pca_components', 'value': 256}",minmax,uniform,ok,,0.3834969733586193,0.4149408026288467,0.2658013642469601,0.17988521510585334,0.20152055292354523,0.20786506031725116,0.4025335457121693,0.41935728931509075,0.8136666666666666,0.012355835328567103,0.8190147423605343,0.011405664035126918,0.8151240370068653,0.011906378466029863,0.8151240370068653,0.011906378466029868,0.8136666666666666,0.012355835328567103,0.8190147423605343,0.011405664035126918,0.8151240370068653,0.011906378466029863,0.8151240370068653,0.011906378466029868,0.3834969733586193,0.2658013642469601,0.20152055292354523,0.4025335457121693,0.4149408026288467,0.17988521510585334,0.20786506031725116,0.41935728931509075,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,waveform_spectral_stats,"{""imputer"": ""mean"", ""reducer"": {""type"": ""pca_components"", ""value"": 256}, ""scaler"": ""minmax""}","{""algorithm"": ""brute"", ""leaf_size"": 80, ""metric"": ""chebyshev"", ""n_neighbors"": 11, ""p"": 2, ""weights"": ""uniform""}",cv_notebook_exact_and_lowfreq,leave_one_domain_out,dataset,True,3class_notebook_cv,balanced_train_cv,61,61,outputs/cache/features/2e/2e395c6c061f37a5dd5eb106207176c388164c41.joblib
auto,waveform_spectral_stats,mean,10,cosine,11,2,"{'type': 'select_k_best', 'k': 256}",minmax,distance,ok,,0.4024931829772101,0.42005858786911265,0.35353328883376484,0.15735351633768946,0.2489880503153372,0.2477904365824621,0.4411657781660254,0.40138748744306724,0.8136666666666666,0.01355646627177519,0.8172178566039696,0.013068950204442193,0.8148374623347229,0.013461447946763221,0.814837462334723,0.013461447946763242,0.8136666666666666,0.01355646627177519,0.8172178566039696,0.013068950204442193,0.8148374623347229,0.013461447946763221,0.814837462334723,0.013461447946763242,0.4024931829772101,0.35353328883376484,0.2489880503153372,0.4411657781660254,0.42005858786911265,0.15735351633768946,0.2477904365824621,0.40138748744306724,0.06029203956665097,0.1717109776124057,0.05945331230773667,0.06154351400249145,stratified_kfold,leave_one_domain_out,waveform_spectral_stats,"{""imputer"": ""mean"", ""reducer"": {""k"": 256, ""type"": ""select_k_best""}, ""scaler"": ""minmax""}","{""algorithm"": ""auto"", ""leaf_size"": 10, ""metric"": ""cosine"", ""n_neighbors"": 11, ""p"": 2, ""weights"": ""distance""}",cv_notebook_exact_and_lowfreq,leave_one_domain_out,dataset,True,3class_notebook_cv,balanced_train_cv,61,61,outputs/cache/features/2e/2e395c6c061f37a5dd5eb106207176c388164c41.joblib
auto,lowfreq_all_plus_waveform_spectral,median,80,cosine,9,2,"{'type': 'select_k_best', 'k': 44}",standard_l2,uniform,ok,,0.39957477011608883,0.41699617053472127,0.3028384012839971,0.21985221307508832,0.2411138979419518,0.2530706210185141,0.42159842149408133,0.41747815329442184,0.8113333333333334,0.009273618495495671,0.8149589221548729,0.006807433016875949,0.8122402935855231,0.009166984663910907,0.8122402935855231,0.009166984663910886,0.8113333333333334,0.009273618495495671,0.8149589221548729,0.006807433016875949,0.8122402935855231,0.009166984663910907,0.8122402935855231,0.009166984663910886,0.39957477011608883,0.3028384012839971,0.2411138979419518,0.42159842149408133,0.41699617053472127,0.21985221307508832,0.2530706210185141,0.41747815329442184,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_waveform_spectral,"{""imputer"": ""median"", ""reducer"": {""k"": 44, ""type"": ""select_k_best""}, ""scaler"": ""standard_l2""}","{""algorithm"": ""auto"", ""leaf_size"": 80, ""metric"": ""cosine"", ""n_neighbors"": 9, ""p"": 2, ""weights"": ""uniform""}",cv_notebook_exact_and_lowfreq,leave_one_domain_out,dataset,True,3class_notebook_cv,balanced_train_cv,277,277,outputs/cache/features/7b/7bf5840dfd3364c6796e8ce2995b58db491d67d3.joblib
brute,waveform_spectral_stats,mean,20,chebyshev,15,2,"{'type': 'select_k_best', 'k': 64}",minmax,uniform,ok,,0.35918049199367985,0.35679567335506385,0.23234855660060405,0.15048138122083188,0.1524022202407221,0.12686810060502185,0.4006418476434039,0.38455376166430966,0.8083333333333333,0.006055300708194995,0.8126111611517401,0.004633936278062706,0.8096304220747366,0.00574301063872979,0.8096304220747363,0.005743010638729692,0.8083333333333333,0.006055300708194995,0.8126111611517401,0.004633936278062706,0.8096304220747366,0.00574301063872979,0.8096304220747363,0.005743010638729692,0.35918049199367985,0.23234855660060405,0.1524022202407221,0.4006418476434039,0.35679567335506385,0.15048138122083188,0.12686810060502185,0.38455376166430966,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,waveform_spectral_stats,"{""imputer"": ""mean"", ""reducer"": {""k"": 64, ""type"": ""select_k_best""}, ""scaler"": ""minmax""}","{""algorithm"": ""brute"", ""leaf_size"": 20, ""metric"": ""chebyshev"", ""n_neighbors"": 15, ""p"": 2, ""weights"": ""uniform""}",cv_notebook_exact_and_lowfreq,leave_one_domain_out,dataset,True,3class_notebook_cv,balanced_train_cv,61,61,outputs/cache/features/2e/2e395c6c061f37a5dd5eb106207176c388164c41.joblib
brute,waveform_spectral_stats,mean,10,manhattan,15,2,"{'type': 'select_k_best', 'k': 44}",robust_l2,uniform,ok,,0.40614523971361943,0.4160965061365001,0.26563675519346214,0.17972181912408294,0.19944313964181917,0.18944852801331893,0.429525705777261,0.4152541489272029,0.808,0.009510228411791409,0.8092735285676769,0.009172316812826927,0.8082796170060884,0.009413147230602055,0.8082796170060884,0.009413147230602117,0.808,0.009510228411791409,0.8092735285676769,0.009172316812826927,0.8082796170060884,0.009413147230602055,0.8082796170060884,0.009413147230602117,0.40614523971361943,0.26563675519346214,0.19944313964181917,0.429525705777261,0.4160965061365001,0.17972181912408294,0.18944852801331893,0.4152541489272029,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,waveform_spectral_stats,"{""imputer"": ""mean"", ""reducer"": {""k"": 44, ""type"": ""select_k_best""}, ""scaler"": ""robust_l2""}","{""algorithm"": ""brute"", ""leaf_size"": 10, ""metric"": ""manhattan"", ""n_neighbors"": 15, ""p"": 2, ""weights"": ""uniform""}",cv_notebook_exact_and_lowfreq,leave_one_domain_out,dataset,True,3class_notebook_cv,balanced_train_cv,61,61,outputs/cache/features/2e/2e395c6c061f37a5dd5eb106207176c388164c41.joblib
auto,lowfreq_all_plus_waveform_spectral,median,30,minkowski,5,2,{'type': 'none'},standard,uniform,ok,,0.5321853767669724,0.34458545632740967,0.23886533731093315,0.1555182306599691,0.2232184343243008,0.13762477614115895,0.5784652651216166,0.40768567163313607,0.8039999999999999,0.008602325267042613,0.8086964493341622,0.008356932539207081,0.8054652960272678,0.008686580697380744,0.8054652960272678,0.008686580697380736,0.8039999999999999,0.008602325267042613,0.8086964493341622,0.008356932539207081,0.8054652960272678,0.008686580697380744,0.8054652960272678,0.008686580697380736,0.5321853767669724,0.23886533731093315,0.2232184343243008,0.5784652651216166,0.34458545632740967,0.1555182306599691,0.13762477614115895,0.40768567163313607,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_waveform_spectral,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,,,,,,277,277,outputs/cache/features/7b/7bf5840dfd3364c6796e8ce2995b58db491d67d3.joblib
brute,lowfreq_all_plus_waveform_spectral,median,30,manhattan,9,2,"{'type': 'pca_components', 'value': 44}",standard,uniform,ok,,0.5027094160449449,0.32697433576981055,0.23477033321592908,0.15230752593750102,0.20936156723827395,0.12663912999518487,0.5582179141638669,0.39481127333473337,0.8023333333333333,0.010572501018102469,0.8081399198688313,0.01102379450167485,0.8037920358909284,0.010406566494620633,0.8037920358909286,0.010406566494620668,0.8023333333333333,0.010572501018102469,0.8081399198688313,0.01102379450167485,0.8037920358909284,0.010406566494620633,0.8037920358909286,0.010406566494620668,0.5027094160449449,0.23477033321592908,0.20936156723827395,0.5582179141638669,0.32697433576981055,0.15230752593750102,0.12663912999518487,0.39481127333473337,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_waveform_spectral,"{""imputer"": ""median"", ""reducer"": {""type"": ""pca_components"", ""value"": 44}, ""scaler"": ""standard""}","{""algorithm"": ""brute"", ""leaf_size"": 30, ""metric"": ""manhattan"", ""n_neighbors"": 9, ""p"": 2, ""weights"": ""uniform""}",cv_notebook_exact_and_lowfreq,leave_one_domain_out,dataset,True,3class_notebook_cv,balanced_train_cv,277,277,outputs/cache/features/7b/7bf5840dfd3364c6796e8ce2995b58db491d67d3.joblib
auto,waveform_spectral_stats,mean,30,minkowski,3,1,{'type': 'none'},standard_l2,distance,ok,,0.49735555447428204,0.35046320883592463,0.34129934298585773,0.09926982034207019,0.284951224356534,0.16939940371704218,0.5594302248493627,0.31450596080211196,0.8019999999999999,0.01102522360569417,0.8030245905667132,0.010176312433665433,0.8022886913381374,0.010640110893498578,0.8022886913381374,0.010640110893498632,0.8019999999999999,0.01102522360569417,0.8030245905667132,0.010176312433665433,0.8022886913381374,0.010640110893498578,0.8022886913381374,0.010640110893498632,0.49735555447428204,0.34129934298585773,0.284951224356534,0.5594302248493627,0.35046320883592463,0.09926982034207019,0.16939940371704218,0.31450596080211196,0.23410268487988695,0.22389802895757327,0.13978494623655915,0.26387912744765235,stratified_kfold,leave_one_domain_out,waveform_spectral_stats,"{""imputer"": ""mean"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard_l2""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",cv_notebook_exact_and_lowfreq,leave_one_domain_out,dataset,True,3class_notebook_cv,balanced_train_cv,61,61,outputs/cache/features/2e/2e395c6c061f37a5dd5eb106207176c388164c41.joblib
