algorithm,feature_set,imputer,leaf_size,metric,n_neighbors,p,reducer,scaler,weights,status,error,cv_accuracy_mean,cv_accuracy_std,cv_macro_precision_mean,cv_macro_precision_std,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_weighted_f1_std,random_cv_accuracy_mean,random_cv_accuracy_std,random_cv_macro_precision_mean,random_cv_macro_precision_std,random_cv_macro_f1_mean,random_cv_macro_f1_std,random_cv_weighted_f1_mean,random_cv_weighted_f1_std,stratified_cv_accuracy_mean,stratified_cv_accuracy_std,stratified_cv_macro_precision_mean,stratified_cv_macro_precision_std,stratified_cv_macro_f1_mean,stratified_cv_macro_f1_std,stratified_cv_weighted_f1_mean,stratified_cv_weighted_f1_std,domain_cv_accuracy_mean,domain_cv_macro_precision_mean,domain_cv_macro_f1_mean,domain_cv_weighted_f1_mean,domain_cv_accuracy_std,domain_cv_macro_precision_std,domain_cv_macro_f1_std,domain_cv_weighted_f1_std,worst_domain_accuracy,worst_domain_macro_precision,worst_domain_macro_f1,worst_domain_weighted_f1,random_cv_scenario,domain_cv_scenario,feature_family,preprocessing,knn_params,stage,cv_scenario,cv_group_column,cv_is_domain_aware,task_mode,dataset_mode,feature_dimension,feature_count,cache_path
brute,lowfreq_all_plus_logmel,mean,10,manhattan,5,2,"{'type': 'variance_threshold', 'threshold': 0.0}",standard,distance,ok,,0.18515758433487187,0.08876132543691101,0.2419068725363823,0.0323764206340204,0.12321582322955738,0.040640572647655894,0.1714255556212667,0.08705646793493457,0.7911428571428571,0.0041057451037714195,0.7960262504715405,0.0031540548465856704,0.7909531940600132,0.004223351461977704,0.7909531940600132,0.004223351461977647,0.7911428571428571,0.0041057451037714195,0.7960262504715405,0.0031540548465856704,0.7909531940600132,0.004223351461977704,0.7909531940600132,0.004223351461977647,0.18515758433487187,0.2419068725363823,0.12321582322955738,0.1714255556212667,0.08876132543691101,0.0323764206340204,0.040640572647655894,0.08705646793493457,0.059855985598559855,0.2060498386661278,0.07005191324815135,0.0539980134733643,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_logmel,"{""imputer"": ""mean"", ""reducer"": {""threshold"": 0.0, ""type"": ""variance_threshold""}, ""scaler"": ""standard""}","{""algorithm"": ""brute"", ""leaf_size"": 10, ""metric"": ""manhattan"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""distance""}",cv_7class_notebook_and_hybrids,leave_one_domain_out,dataset,True,7class_strict_cv,balanced_train_cv,448,448,outputs/cache/features/0a/0a3903248496cac5b32d4cbc7179676445c2b28c.joblib
auto,lowfreq_all_plus_waveform_spectral,mean,80,manhattan,7,2,"{'type': 'select_k_best', 'k': 64}",robust,uniform,ok,,0.149411995213891,0.06377427340263851,0.2448648158701948,0.036857132777929284,0.1118175793611178,0.0298577490627866,0.14508389450170991,0.07531314715096547,0.7892857142857143,0.01085150229419028,0.7912726419236493,0.011211707961088111,0.7893872532957495,0.01104501753133919,0.7893872532957498,0.011045017531339192,0.7892857142857143,0.01085150229419028,0.7912726419236493,0.011211707961088111,0.7893872532957495,0.01104501753133919,0.7893872532957498,0.011045017531339192,0.149411995213891,0.2448648158701948,0.1118175793611178,0.14508389450170991,0.06377427340263851,0.036857132777929284,0.0298577490627866,0.07531314715096547,0.0594059405940594,0.19547943298342543,0.07167358977892853,0.039288807540077554,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_waveform_spectral,"{""imputer"": ""mean"", ""reducer"": {""k"": 64, ""type"": ""select_k_best""}, ""scaler"": ""robust""}","{""algorithm"": ""auto"", ""leaf_size"": 80, ""metric"": ""manhattan"", ""n_neighbors"": 7, ""p"": 2, ""weights"": ""uniform""}",cv_7class_notebook_and_hybrids,leave_one_domain_out,dataset,True,7class_strict_cv,balanced_train_cv,277,277,outputs/cache/features/58/58a41ad7ed789eac08d94ca483da80c94fc7d610.joblib
brute,lowfreq_all_plus_mfcc,median,20,minkowski,7,1,{'type': 'none'},standard_l2,distance,ok,,0.17718413527502033,0.0850982036126995,0.24669690863961954,0.035588923913974786,0.12006785743549862,0.035970615827309496,0.15269451036632206,0.0845637022084919,0.7742857142857142,0.012801466752697046,0.7805889349575506,0.013266371175846982,0.7729855867998074,0.013146963522709968,0.7729855867998073,0.013146963522709932,0.7742857142857142,0.012801466752697046,0.7805889349575506,0.013266371175846982,0.7729855867998074,0.013146963522709968,0.7729855867998073,0.013146963522709932,0.17718413527502033,0.24669690863961954,0.12006785743549862,0.15269451036632206,0.0850982036126995,0.035588923913974786,0.035970615827309496,0.0845637022084919,0.05895589558955896,0.20385079321038793,0.07928092377747131,0.049388336319423805,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_mfcc,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard_l2""}","{""algorithm"": ""brute"", ""leaf_size"": 20, ""metric"": ""minkowski"", ""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",cv_7class_notebook_and_hybrids,leave_one_domain_out,dataset,True,7class_strict_cv,balanced_train_cv,376,376,outputs/cache/features/2a/2a0c645b0663925bf1d8446763c3e2c857d27d8d.joblib
auto,lowfreq_all_plus_logmel,median,10,manhattan,41,2,{'type': 'none'},standard_l2,distance,ok,,0.13449173814855397,0.06858791643045223,0.1505848868460252,0.04113255606418738,0.09939181278601968,0.03682670102578335,0.1169790020690223,0.07488892225761094,0.7695714285714286,0.005122977450583155,0.7792386707105232,0.005045720693093641,0.767836971099932,0.0054552486448627745,0.767836971099932,0.00545524864486278,0.7695714285714286,0.005122977450583155,0.7792386707105232,0.005045720693093641,0.767836971099932,0.0054552486448627745,0.767836971099932,0.00545524864486278,0.13449173814855397,0.1505848868460252,0.09939181278601968,0.1169790020690223,0.06858791643045223,0.04113255606418738,0.03682670102578335,0.07488892225761094,0.038253825382538256,0.0925493892860029,0.04956371987242857,0.012888059294591124,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_logmel,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard_l2""}","{""algorithm"": ""auto"", ""leaf_size"": 10, ""metric"": ""manhattan"", ""n_neighbors"": 41, ""p"": 2, ""weights"": ""distance""}",cv_7class_notebook_and_hybrids,leave_one_domain_out,dataset,True,7class_strict_cv,balanced_train_cv,448,448,outputs/cache/features/0a/0a3903248496cac5b32d4cbc7179676445c2b28c.joblib
brute,lowfreq_all_plus_mfcc,mean,50,minkowski,5,2,"{'type': 'pca_components', 'value': 44}",power,distance,ok,,0.17415421269275244,0.08273446285723539,0.23694493723944957,0.03784829515048012,0.11897486305303799,0.03454380715840672,0.1594771642512832,0.08260604769799511,0.7668571428571429,0.01364715713836342,0.7710698406047367,0.012958168456835754,0.7664314470128073,0.013784358086092192,0.7664314470128074,0.013784358086092222,0.7668571428571429,0.01364715713836342,0.7710698406047367,0.012958168456835754,0.7664314470128073,0.013784358086092192,0.7664314470128074,0.013784358086092222,0.17415421269275244,0.23694493723944957,0.11897486305303799,0.1594771642512832,0.08273446285723539,0.03784829515048012,0.03454380715840672,0.08260604769799511,0.05715571557155716,0.1948448472544317,0.07388875486996939,0.04663062896595319,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_mfcc,"{""imputer"": ""mean"", ""reducer"": {""type"": ""pca_components"", ""value"": 44}, ""scaler"": ""power""}","{""algorithm"": ""brute"", ""leaf_size"": 50, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""distance""}",cv_7class_notebook_and_hybrids,leave_one_domain_out,dataset,True,7class_strict_cv,balanced_train_cv,376,376,outputs/cache/features/2a/2a0c645b0663925bf1d8446763c3e2c857d27d8d.joblib
auto,lowfreq_all_plus_waveform_spectral,median,80,cosine,9,2,"{'type': 'select_k_best', 'k': 44}",standard_l2,uniform,ok,,0.15366720747173082,0.07493940359242997,0.25802008743937277,0.05255487271965411,0.11048191355914226,0.034625845805057044,0.14059347631755129,0.07930377745773672,0.7634285714285716,0.01055983920718647,0.7675316869001862,0.009906374983536253,0.763551370609763,0.010462162613254762,0.7635513706097627,0.010462162613254838,0.7634285714285716,0.01055983920718647,0.7675316869001862,0.009906374983536253,0.763551370609763,0.010462162613254762,0.7635513706097627,0.010462162613254838,0.15366720747173082,0.25802008743937277,0.11048191355914226,0.14059347631755129,0.07493940359242997,0.05255487271965411,0.034625845805057044,0.07930377745773672,0.052205220522052204,0.19535606987475693,0.061904179679675896,0.02844124414271083,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_waveform_spectral,"{""imputer"": ""median"", ""reducer"": {""k"": 44, ""type"": ""select_k_best""}, ""scaler"": ""standard_l2""}","{""algorithm"": ""auto"", ""leaf_size"": 80, ""metric"": ""cosine"", ""n_neighbors"": 9, ""p"": 2, ""weights"": ""uniform""}",cv_7class_notebook_and_hybrids,leave_one_domain_out,dataset,True,7class_strict_cv,balanced_train_cv,277,277,outputs/cache/features/58/58a41ad7ed789eac08d94ca483da80c94fc7d610.joblib
brute,lowfreq_all_plus_mfcc,mean,80,minkowski,31,1,"{'type': 'pca_components', 'value': 44}",minmax,uniform,ok,,0.146245094872149,0.08240766846163781,0.1927167050977857,0.026447774996754658,0.09542370189934297,0.044110344162480566,0.12058064261308488,0.07859923303518176,0.7647142857142857,0.006724915597679901,0.7776426603222084,0.008475958454461512,0.7631970627406581,0.007181225787756271,0.7631970627406581,0.0071812257877562746,0.7647142857142857,0.006724915597679901,0.7776426603222084,0.008475958454461512,0.7631970627406581,0.007181225787756271,0.7631970627406581,0.0071812257877562746,0.146245094872149,0.1927167050977857,0.09542370189934297,0.12058064261308488,0.08240766846163781,0.026447774996754658,0.044110344162480566,0.07859923303518176,0.03195319531953195,0.16570950479229557,0.034766157637158256,0.011500356954346532,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_mfcc,"{""imputer"": ""mean"", ""reducer"": {""type"": ""pca_components"", ""value"": 44}, ""scaler"": ""minmax""}","{""algorithm"": ""brute"", ""leaf_size"": 80, ""metric"": ""minkowski"", ""n_neighbors"": 31, ""p"": 1, ""weights"": ""uniform""}",cv_7class_notebook_and_hybrids,leave_one_domain_out,dataset,True,7class_strict_cv,balanced_train_cv,376,376,outputs/cache/features/2a/2a0c645b0663925bf1d8446763c3e2c857d27d8d.joblib
brute,lowfreq_all_plus_logmel,mean,20,minkowski,31,1,"{'type': 'pca_components', 'value': 44}",standard,uniform,ok,,0.13311386036818884,0.07489531776871991,0.18454646786967757,0.03501752131416909,0.09242329701256098,0.04213837332004113,0.11390178935990142,0.07550298863008689,0.7631428571428572,0.010137825713834354,0.7701098900297036,0.010396846281964958,0.7628388635199777,0.010510883028025948,0.7628388635199777,0.010510883028025948,0.7631428571428572,0.010137825713834354,0.7701098900297036,0.010396846281964958,0.7628388635199777,0.010510883028025948,0.7628388635199777,0.010510883028025948,0.13311386036818884,0.18454646786967757,0.09242329701256098,0.11390178935990142,0.07489531776871991,0.03501752131416909,0.04213837332004113,0.07550298863008689,0.031053105310531053,0.15540844108778187,0.03390190030090239,0.007465049670264596,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_logmel,"{""imputer"": ""mean"", ""reducer"": {""type"": ""pca_components"", ""value"": 44}, ""scaler"": ""standard""}","{""algorithm"": ""brute"", ""leaf_size"": 20, ""metric"": ""minkowski"", ""n_neighbors"": 31, ""p"": 1, ""weights"": ""uniform""}",cv_7class_notebook_and_hybrids,leave_one_domain_out,dataset,True,7class_strict_cv,balanced_train_cv,448,448,outputs/cache/features/0a/0a3903248496cac5b32d4cbc7179676445c2b28c.joblib
auto,lowfreq_all_plus_waveform_spectral,mean,80,euclidean,11,2,"{'type': 'select_k_best', 'k': 64}",robust_l2,distance,ok,,0.15529643939902915,0.06980571714126246,0.26756842462451225,0.05819579339299714,0.10742069451835275,0.027119755616590403,0.134937091676559,0.07380537211694232,0.7617142857142858,0.011974462622683344,0.7642498879033306,0.010859960168288609,0.761432696972548,0.012152216001849323,0.7614326969725481,0.012152216001849358,0.7617142857142858,0.011974462622683344,0.7642498879033306,0.010859960168288609,0.761432696972548,0.012152216001849323,0.7614326969725481,0.012152216001849358,0.15529643939902915,0.26756842462451225,0.10742069451835275,0.134937091676559,0.06980571714126246,0.05819579339299714,0.027119755616590403,0.07380537211694232,0.0576057605760576,0.18654677700261327,0.07097190728955394,0.03348716144509907,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_waveform_spectral,"{""imputer"": ""mean"", ""reducer"": {""k"": 64, ""type"": ""select_k_best""}, ""scaler"": ""robust_l2""}","{""algorithm"": ""auto"", ""leaf_size"": 80, ""metric"": ""euclidean"", ""n_neighbors"": 11, ""p"": 2, ""weights"": ""distance""}",cv_7class_notebook_and_hybrids,leave_one_domain_out,dataset,True,7class_strict_cv,balanced_train_cv,277,277,outputs/cache/features/58/58a41ad7ed789eac08d94ca483da80c94fc7d610.joblib
auto,notebook_lowfreq_meanmax_64,median,30,minkowski,11,2,"{'type': 'pca_components', 'value': 128}",robust,uniform,ok,,0.15205384048412254,0.06679191401274309,0.249035756424824,0.07704367284180728,0.10109362121373605,0.024952136160818438,0.13315627209881525,0.058246518243607624,0.7585714285714286,0.010879675865519871,0.7625722323668452,0.01064507935901704,0.7589752648298137,0.010830402899861773,0.7589752648298137,0.010830402899861744,0.7585714285714286,0.010879675865519871,0.7625722323668452,0.01064507935901704,0.7589752648298137,0.010830402899861773,0.7589752648298137,0.010830402899861744,0.15205384048412254,0.249035756424824,0.10109362121373605,0.13315627209881525,0.06679191401274309,0.07704367284180728,0.024952136160818438,0.058246518243607624,0.05850585058505851,0.14012739086701176,0.06635833357306258,0.0516732348255362,stratified_kfold,leave_one_domain_out,notebook_lowfreq_meanmax_64,"{""imputer"": ""median"", ""reducer"": {""type"": ""pca_components"", ""value"": 128}, ""scaler"": ""robust""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 11, ""p"": 2, ""weights"": ""uniform""}",cv_7class_notebook_and_hybrids,leave_one_domain_out,dataset,True,7class_strict_cv,balanced_train_cv,128,128,outputs/cache/features/f8/f8c80d192e92cc73452b4fd4f8ef424b38f070f6.joblib
