candidate_rank,scenario,strategy,group_column,n_splits,is_domain_aware,feature_set,scaler,reducer,n_neighbors,weights,metric,algorithm,cv_accuracy_mean,cv_accuracy_std,cv_macro_precision_mean,cv_macro_precision_std,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_weighted_f1_std,worst_fold_accuracy,worst_fold_macro_precision,worst_fold_macro_f1,worst_fold_weighted_f1,status,error
1,stratified_kfold,StratifiedKFold,,5,False,lowfreq_all_plus_logmel,standard,"{'type': 'variance_threshold', 'threshold': 0.0}",5,distance,manhattan,brute,0.7911428571428571,0.0041057451037714195,0.7960262504715405,0.0031540548465856704,0.7909531940600132,0.004223351461977704,0.7909531940600132,0.004223351461977647,0.7842857142857143,0.7903720914223923,0.7841139332573555,0.7841139332573556,ok,
1,leave_one_domain_out,LeaveOneGroupOut,dataset,3,True,lowfreq_all_plus_logmel,standard,"{'type': 'variance_threshold', 'threshold': 0.0}",5,distance,manhattan,brute,0.18515758433487187,0.08876132543691101,0.2419068725363823,0.0323764206340204,0.12321582322955738,0.040640572647655894,0.1714255556212667,0.08705646793493457,0.059855985598559855,0.2060498386661278,0.07005191324815135,0.0539980134733643,ok,
2,stratified_kfold,StratifiedKFold,,5,False,lowfreq_all_plus_waveform_spectral,robust,"{'type': 'select_k_best', 'k': 64}",7,uniform,manhattan,auto,0.7874285714285714,0.011199489784296943,0.7892048592141186,0.011445277154455681,0.7874842353757604,0.011425755534128858,0.7874842353757605,0.011425755534128819,0.7735714285714286,0.7756718467275899,0.7733273487408446,0.7733273487408447,ok,
2,leave_one_domain_out,LeaveOneGroupOut,dataset,3,True,lowfreq_all_plus_waveform_spectral,robust,"{'type': 'select_k_best', 'k': 64}",7,uniform,manhattan,auto,0.15110458211100233,0.06464652070758245,0.25033474208571455,0.04030087517814933,0.11249693199063665,0.03087827293822798,0.14720158854066628,0.07605014207857984,0.059855985598559855,0.19792332359706563,0.07086343868107979,0.040251518769944254,ok,
3,stratified_kfold,StratifiedKFold,,5,False,lowfreq_all_plus_mfcc,standard_l2,{'type': 'none'},7,distance,minkowski,brute,0.7742857142857142,0.012801466752697046,0.7805889349575506,0.013266371175846982,0.7729855867998074,0.013146963522709968,0.7729855867998073,0.013146963522709932,0.755,0.7613019541917988,0.7525700805603991,0.7525700805603991,ok,
3,leave_one_domain_out,LeaveOneGroupOut,dataset,3,True,lowfreq_all_plus_mfcc,standard_l2,{'type': 'none'},7,distance,minkowski,brute,0.17718413527502033,0.0850982036126995,0.24669690863961954,0.035588923913974786,0.12006785743549862,0.035970615827309496,0.15269451036632206,0.0845637022084919,0.05895589558955896,0.20385079321038793,0.07928092377747131,0.049388336319423805,ok,
4,stratified_kfold,StratifiedKFold,,5,False,lowfreq_all_plus_logmel,standard_l2,{'type': 'none'},41,distance,manhattan,auto,0.7695714285714286,0.005122977450583155,0.7792386707105232,0.005045720693093641,0.767836971099932,0.0054552486448627745,0.767836971099932,0.00545524864486278,0.7628571428571429,0.7731609154994833,0.7609473168615014,0.7609473168615013,ok,
4,leave_one_domain_out,LeaveOneGroupOut,dataset,3,True,lowfreq_all_plus_logmel,standard_l2,{'type': 'none'},41,distance,manhattan,auto,0.13449173814855397,0.06858791643045223,0.1505848868460252,0.04113255606418738,0.09939181278601968,0.03682670102578335,0.1169790020690223,0.07488892225761094,0.038253825382538256,0.0925493892860029,0.04956371987242857,0.012888059294591124,ok,
5,stratified_kfold,StratifiedKFold,,5,False,lowfreq_all_plus_mfcc,power,"{'type': 'pca_components', 'value': 44}",5,distance,minkowski,brute,0.7668571428571429,0.01364715713836342,0.7710698406047367,0.012958168456835754,0.7664314470128073,0.013784358086092192,0.7664314470128074,0.013784358086092222,0.75,0.7558353118789745,0.7494427849245502,0.7494427849245502,ok,
5,leave_one_domain_out,LeaveOneGroupOut,dataset,3,True,lowfreq_all_plus_mfcc,power,"{'type': 'pca_components', 'value': 44}",5,distance,minkowski,brute,0.17415421269275244,0.08273446285723539,0.23694493723944957,0.03784829515048012,0.11897486305303799,0.03454380715840672,0.1594771642512832,0.08260604769799511,0.05715571557155716,0.1948448472544317,0.07388875486996939,0.04663062896595319,ok,
