mode,dataset,feature_set,task_mode,diagnostic_only,not_strict_split_safe,not_for_model_selection,scaler_fit_scope,rows,status,skip_reason,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,feature_dimension,knn_params,n_splits,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
notebook_exact_leaky_audit,casey2014,notebook_exact_44,3class_notebook_cv,True,True,True,full_selected_dataset_before_train_test_split,6866,ok,,0.9272197962154294,0.570361657664242,0.4572755417956656,0.4912543166429599,0.9148928387216487,44.0,"{""requested_n_neighbors"": 5, ""effective_n_neighbors"": 5, ""weights"": ""uniform"", ""metric"": ""minkowski"", ""p"": 2}",,,,,,,,,,,
notebook_exact_split_safe,casey2014,notebook_exact_44,3class_notebook_cv,False,False,False,inside_sklearn_pipeline_cv_train_folds_only,6866,ok,,,,,,,44.0,"{""requested_n_neighbors"": 5, ""effective_n_neighbors"": 5, ""weights"": ""uniform"", ""metric"": ""minkowski"", ""p"": 2}",5.0,0.9188754636888803,0.003529658420935526,0.5380663681342222,0.008989166173328959,0.45007077961744757,0.01802378072945162,0.4775492323009939,0.017335924379170444,0.906637890431238,0.00631066058278615
notebook_exact_leaky_audit,kerguelen2005,notebook_exact_44,3class_notebook_cv,True,True,True,full_selected_dataset_before_train_test_split,2960,ok,,0.6554054054054054,0.6612575329879152,0.6414310358995651,0.6464719830086547,0.6515030820544637,44.0,"{""requested_n_neighbors"": 5, ""effective_n_neighbors"": 5, ""weights"": ""uniform"", ""metric"": ""minkowski"", ""p"": 2}",,,,,,,,,,,
notebook_exact_split_safe,kerguelen2005,notebook_exact_44,3class_notebook_cv,False,False,False,inside_sklearn_pipeline_cv_train_folds_only,2960,ok,,,,,,,44.0,"{""requested_n_neighbors"": 5, ""effective_n_neighbors"": 5, ""weights"": ""uniform"", ""metric"": ""minkowski"", ""p"": 2}",5.0,0.6641891891891892,0.012431330738496029,0.662346054521664,0.011047057520038749,0.6504137650904496,0.014220021802364482,0.6534763891258508,0.013480622783243329,0.6606368421373354,0.013004514612600479
notebook_exact_leaky_audit,maudrise2014,notebook_exact_44,3class_notebook_cv,True,True,True,full_selected_dataset_before_train_test_split,2360,ok,,0.9766949152542372,0.7604166666666666,0.7296378418329638,0.7196267457669014,0.9766701702456589,44.0,"{""requested_n_neighbors"": 5, ""effective_n_neighbors"": 5, ""weights"": ""uniform"", ""metric"": ""minkowski"", ""p"": 2}",,,,,,,,,,,
notebook_exact_split_safe,maudrise2014,notebook_exact_44,3class_notebook_cv,False,False,False,inside_sklearn_pipeline_cv_train_folds_only,2360,ok,,,,,,,44.0,"{""requested_n_neighbors"": 5, ""effective_n_neighbors"": 5, ""weights"": ""uniform"", ""metric"": ""minkowski"", ""p"": 2}",5.0,0.975,0.0024707423283242733,0.7910674529170338,0.10880845827328883,0.6799526508338294,0.04263826556925728,0.684212753635444,0.05423750420087987,0.974054117322875,0.002948838937764523
notebook_exact_leaky_audit,elephantisland2013,notebook_exact_44,3class_notebook_cv,True,True,True,full_selected_dataset_before_train_test_split,21913,ok,,0.6034679443303673,0.5698406422805508,0.5553144890154705,0.5539513383218863,0.5932899529672159,44.0,"{""requested_n_neighbors"": 5, ""effective_n_neighbors"": 5, ""weights"": ""uniform"", ""metric"": ""minkowski"", ""p"": 2}",,,,,,,,,,,
notebook_exact_split_safe,elephantisland2013,notebook_exact_44,3class_notebook_cv,False,False,False,inside_sklearn_pipeline_cv_train_folds_only,21913,ok,,,,,,,44.0,"{""requested_n_neighbors"": 5, ""effective_n_neighbors"": 5, ""weights"": ""uniform"", ""metric"": ""minkowski"", ""p"": 2}",5.0,0.612056915056961,0.004093935122526396,0.5806895793641987,0.005396678692763047,0.5682634694157807,0.0068965282907547144,0.5662145043127527,0.006351811632104356,0.6033306716188536,0.004778829064076313
notebook_exact_leaky_audit,rosssea2014,notebook_exact_44,3class_notebook_cv,True,True,True,full_selected_dataset_before_train_test_split,104,skipped,"not enough samples per class for stratified evaluation: ['DDswp', '20Hz20Plus']",,,,,,,,,,,,,,,,,,
notebook_exact_split_safe,rosssea2014,notebook_exact_44,3class_notebook_cv,False,False,False,inside_sklearn_pipeline_cv_train_folds_only,104,skipped,"not enough samples per class for stratified evaluation: ['DDswp', '20Hz20Plus']",,,,,,,,,,,,,,,,,,
notebook_exact_leaky_audit,elephantisland2014,notebook_exact_44,3class_notebook_cv,True,True,True,full_selected_dataset_before_train_test_split,20957,ok,,0.6204675572519084,0.5877440368564044,0.5864160429681763,0.5843717344598263,0.6128351828988298,44.0,"{""requested_n_neighbors"": 5, ""effective_n_neighbors"": 5, ""weights"": ""uniform"", ""metric"": ""minkowski"", ""p"": 2}",,,,,,,,,,,
